sourceId,sourcePage,sourceType,treatment,destinationSectionId,destinationRoute,citationStatus,rightsStatus,publicPrivacyStatus,migrationStatus,editorialNote
p110,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p111,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p112,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p113,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p114,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p115,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p116,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p117,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p118,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p119,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p120,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p121,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p122,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p123,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p124,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p125,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p126,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p127,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p128,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p129,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p130,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p131,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p132,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p133,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p134,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p135,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p136,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p137,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p138,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p139,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p140,7,image,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p141,7,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p142,7,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p143,7,paragraph,summarized,,/case/,verified,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p144,8,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p145,8,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p146,8,heading,rewritten-for-clarity,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,"Section heading, restated as the page title in the registry."
p147,8,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p148,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p149,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p150,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p151,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p152,8,scripture,preserved,P00,/case/why-this-matters/,not-required,public-domain,safe,approved,Scripture reference or quotation. Full displays render the public-domain World English Bible from the verified corpus rather than the copyrighted translation used in the source document.
p153,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p154,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p155,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p156,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p157,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p158,8,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p159,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p160,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p161,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p162,8,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p163,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p164,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p165,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p166,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p167,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p168,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p169,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p170,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p171,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p172,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p173,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p174,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p175,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p176,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p177,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p178,9,list-item,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p179,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p180,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p181,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p182,9,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p183,10,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p184,10,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p185,10,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p186,10,paragraph,preserved,P00,/case/why-this-matters/,not-required,not-applicable,safe,approved,Substantive content carried into the destination page.
p187,10,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
